PP,CB,SM,DG,CN,CD,VC,SNL,RM,CO,PS,PP2,CF,CA,IN,AR,RP
1,0-4,0-1,0-8,0-6,0-25,0-14,0-7,0-6,0-8,0-6,1,0-10,0-32,0-9,0-11,0-6
2,5-7,2,9,7,26-28,15-16,8-9,7-8,9-10,7-8,2,11-13,33-40,10,12-13,7
3,8-11,3-4,10,8-9,29-31,17-19,10-11,9-10,11-12,9-10,3,14-15,41-47,11,14-15,8
4,12-16,5-7,11,10,32-34,20-22,12-13,11-12,13-15,11-13,4,16-17,48-55,12-13,16-17,9
5,17-20,8-11,12,11-12,35-38,23-25,14,13-14,16-17,14-15,5,18-20,56-63,14,18-19,10
6,21-25,12-15,,13,39-42,26-27,15,15-16,18-19,16-18,6,21,64-71,15,20,11-12
7,26-30,16-18,13,14-15,43-46,28-30,16,17-18,20-21,19-21,7,22-23,72-78,16-17,21-22,13
8,31-35,19-22,14,16,47-51,31-33,17,19-20,22-24,22-24,8,24-26,79-86,18,23,14
9,36-40,23-25,15,17,52-55,34-36,18-19,21-22,25-26,25-27,9,27-28,87-93,19-20,24-25,15
10,41-45,26-28,16-17,18-19,56-60,37-38,20,23-24,27-28,28-30,10,29,94-100,21,26,16
11,46-49,29-30,18,20,61-65,39-41,21,25-26,29-30,31-33,11,30-31,101-107,22,27,17
12,50-53,31-32,19-20,21,66-70,42-43,,27,31-32,34-35,12,32,108-113,23-24,28-29,18
13,54-57,33-34,21-22,22,71-75,44-46,22,28-29,33,36-37,13,33,114-119,25,30,19
14,58-61,35,23,23-24,76-81,47-49,,30-31,34-35,38-40,14,34,120-125,26-27,31,20
15,62-64,36,24-25,25,82-86,50-51,23,32,36-37,41-42,15,35,126-130,28,32,21
16,65-66,37,26,26,87-91,52-54,24,33,38,43-44,16,36,131-133,29-30,,
17,67,38,27-28,27,92-97,55-56,25,34,39,45-46,17,37,134-135,31,33,22
18,68,39,29-30,,98-103,57-59,26,,40,47-48,18,,136,32,,23
19,,40-44,31-32,28,104-119,60-68,27-30,35,41-42,49-60,19,38,,33,34,24
