PP,CB,SM,DG,CN,CD,VC,SNL,RM,CO,PS,PP2,CF,CA,IN,AR,RP
1,0-2,0,0-7,0-3,0-17,0-10,0-3,0-5,0-6,0-2,1,0-8,0-28,0-8,0-10,0-4
2,3-4,1,8,4-5,18-20,11-13,4-5,6-7,7-8,3-4,2,9-10,29-34,9,11-12,5
3,5-8,2,9,6-7,21-23,14-16,6-7,8-9,9-10,5-6,3,11-12,35-40,10,13-14,6
4,9-12,3-4,10,8,24-26,17-18,8-9,10,11-12,7-9,4,13-14,41-46,11,15,7
5,13-16,5-8,,9-10,27-29,19-21,10,11-12,13-14,10-11,5,15-16,47-53,12,16-17,8-9
6,17-20,9-11,11,11,30-33,22-23,11-12,13-14,15,12-13,6,17-18,54-59,13,18,10
7,21-24,12-14,12,12-13,34-37,24-26,13,15-16,16-17,14-16,7,19-20,60-65,14,19-20,11
8,25-27,15-16,13,14,38-41,27-28,14-15,17,18-19,17-18,8,21-22,66-72,15,21,12
9,28-31,17-19,14,15-16,42-45,29-31,16,18-19,20-21,19-21,9,23-24,73-78,16,22,13
10,32-35,20-22,15,17,46-48,32-33,17-18,20-21,22-23,22-23,10,25,79-85,17,23-24,14
11,36-39,23-24,16-17,18,49-52,34-36,19,22-23,24-25,24-25,11,26-27,86-91,18,25,15
12,40-43,25-26,18,19-20,53-56,37-38,20,24,26-27,26-27,12,28-29,92-97,19-20,26,16
13,44-47,27-28,19-20,21,57-60,39-41,21,25-26,28,28-29,13,30,98-104,21,27,
14,48-51,29-30,21,22,61-64,42-43,22,27,29-30,30-31,14,31-32,105-110,22,28-29,17
15,52-55,31-32,22-23,23,65-68,44-45,,28-29,31-32,32-33,15,33,111-117,23-24,30,18
16,56-58,33-34,24,24-25,69-72,46-48,23,30-31,33-34,34-35,16,34-35,118-123,25,31,19
17,59-62,35,25-26,26,73-76,49-50,24,32,35-36,36-37,17,36,124-129,26,,20
18,63-65,36,27-28,27,77-80,51-52,25,33-34,37-38,38-40,18,37,130-134,27-28,32,
19,66-68,37-44,29-32,28,81-119,53-68,26-30,35,39-42,41-60,19,38,135-136,29-33,33-34,21-24
